n_agents,n_families,panel,n,base_rate,auc_pr,lift,auroc,mean_disagreement
4,2,llama-3.1-8b-instruct+llama-3.3-70b-instruct+llama-4-maverick+qwen3.6-plus,788,0.376,0.451,1.2,0.591,0.282
4,2,llama-3.1-8b-instruct+llama-3.3-70b-instruct+qwen3.6-27b+qwen3.6-35b-a3b,790,0.375,0.448,1.2,0.598,0.309
4,2,llama-3.1-8b-instruct+llama-4-maverick+gpt-oss-120b+gpt-5.6-sol,787,0.376,0.452,1.2,0.573,0.288
4,3,llama-3.1-8b-instruct+gpt-oss-20b+gpt-5.6-sol+qwen3.6-27b,788,0.376,0.45,1.2,0.584,0.356
4,2,llama-3.3-70b-instruct+llama-4-maverick+gpt-oss-120b+gpt-5.6-sol,787,0.376,0.452,1.2,0.582,0.278
4,3,llama-3.3-70b-instruct+llama-4-maverick+gpt-oss-120b+qwen3.6-27b,789,0.375,0.449,1.2,0.588,0.308
4,3,llama-3.1-8b-instruct+llama-3.3-70b-instruct+gpt-oss-120b+qwen3.6-plus,789,0.375,0.445,1.19,0.581,0.317
4,2,llama-3.1-8b-instruct+gpt-oss-20b+gpt-oss-120b+gpt-5.6-sol,787,0.376,0.446,1.19,0.564,0.314
4,3,llama-3.1-8b-instruct+gpt-oss-20b+qwen3.6-35b-a3b+qwen3.6-plus,789,0.374,0.445,1.19,0.591,0.36
4,3,llama-3.1-8b-instruct+gpt-oss-120b+gpt-5.6-sol+qwen3.6-35b-a3b,790,0.375,0.446,1.19,0.595,0.341
4,3,llama-3.3-70b-instruct+llama-4-maverick+gpt-oss-20b+qwen3.6-plus,789,0.375,0.447,1.19,0.59,0.322
4,3,llama-3.3-70b-instruct+llama-4-maverick+gpt-oss-120b+qwen3.6-35b-a3b,789,0.375,0.445,1.19,0.593,0.305
4,3,llama-3.1-8b-instruct+llama-4-maverick+gpt-oss-120b+qwen3.6-27b,790,0.375,0.443,1.18,0.574,0.323
4,3,llama-3.1-8b-instruct+gpt-oss-20b+qwen3.6-27b+qwen3.6-plus,789,0.374,0.442,1.18,0.588,0.355
4,3,llama-3.3-70b-instruct+gpt-oss-20b+gpt-oss-120b+qwen3.6-27b,790,0.375,0.443,1.18,0.567,0.337
4,3,llama-3.3-70b-instruct+gpt-oss-20b+gpt-oss-120b+qwen3.6-35b-a3b,790,0.375,0.441,1.18,0.577,0.334
4,2,llama-4-maverick+gpt-oss-20b+gpt-oss-120b+gpt-5.6-sol,788,0.376,0.443,1.18,0.572,0.317
4,2,llama-3.1-8b-instruct+llama-3.3-70b-instruct+llama-4-maverick+gpt-5.6-sol,787,0.376,0.442,1.17,0.568,0.243
4,2,llama-3.1-8b-instruct+llama-3.3-70b-instruct+gpt-oss-120b+gpt-5.6-sol,786,0.377,0.441,1.17,0.57,0.279
